"x","y","R_t0","f1_t0"
754639.00234,4296562.64118111,0,0
751440.00234,4296555.64118111,0,0
754681.00234,4296541.64118111,0,0
754688.00234,4296541.64118111,0,0
754695.00234,4296541.64118111,0,0
754702.00234,4296541.64118111,0,0
754709.00234,4296541.64118111,0,0
754541.00234,4296534.64118111,0,0
754667.00234,4296534.64118111,0,0
754674.00234,4296534.64118111,0,0
754681.00234,4296534.64118111,0,0
754688.00234,4296534.64118111,0,0
754695.00234,4296534.64118111,0,0
754702.00234,4296534.64118111,0,0
752462.00234,4296527.64118111,0,0
752469.00234,4296527.64118111,0,0
754520.00234,4296527.64118111,0,0
754527.00234,4296527.64118111,0,0
754534.00234,4296527.64118111,0,0
754541.00234,4296527.64118111,0,0
754653.00234,4296527.64118111,0,0
754660.00234,4296527.64118111,0,0
754667.00234,4296527.64118111,0,0
754674.00234,4296527.64118111,0,0
754681.00234,4296527.64118111,0,0
754688.00234,4296527.64118111,0,0
754695.00234,4296527.64118111,0,0
754702.00234,4296527.64118111,0,0
754709.00234,4296527.64118111,0,0
752476.00234,4296520.64118111,0,0
